loan_id,application_date,age,gender,education,state,urban_rural,employment_type,employment_years,annual_income_inr,loan_type,loan_purpose,loan_amount_inr,loan_tenure_months,interest_rate_pct,credit_score,num_existing_loans,dti_ratio,ltv_ratio,has_collateral,bureau_enquiries_6m,missed_payments_2y,savings_account_balance_inr,default_flag
LN0012138,2022-08-18,38,Male,No_Formal,MH,Semi_Urban,Salaried,14,2733782,Personal_Loan,Medical,1822982,36,9.0,743,4,0.104,,0,1,3,488461,1
LN0011929,2023-02-08,47,Male,Graduate,UP,Rural,Self_Employed,17,2790269,Education_Loan,Medical,1599343,60,11.84,852,3,0.409,,0,1,1,202352,0
LN0015277,2023-10-15,48,Male,Undergraduate,GJ,Semi_Urban,Salaried,13,1347857,Gold_Loan,Vehicle,3108842,180,14.27,606,1,0.395,,0,7,1,249891,0
LN0001006,2022-02-01,24,Male,Undergraduate,MH,Semi_Urban,Business_Owner,3,2387249,Gold_Loan,Vehicle,3664680,48,11.37,550,2,0.275,,0,3,1,498840,0
LN0008421,2022-12-03,52,Female,Diploma,DL,Semi_Urban,Self_Employed,9,1152683,Education_Loan,Education,4382954,120,10.84,679,1,0.166,,0,4,1,432579,0
LN0016772,2023-08-04,55,Female,Post_Graduate,DL,Semi_Urban,Self_Employed,15,2844583,Education_Loan,Home_Purchase,2933310,36,13.78,665,0,0.463,,0,1,1,72573,0
LN0016428,2023-11-05,30,Male,Undergraduate,UP,Urban,Business_Owner,15,2470489,Personal_Loan,Education,1206947,120,9.28,749,0,0.521,,0,7,0,127833,0
LN0011735,2022-10-12,49,Female,Diploma,RJ,Urban,Salaried,8,896789,Gold_Loan,Home_Purchase,1692455,240,10.77,814,2,0.231,,1,3,3,155963,0
LN0002914,2022-06-30,59,Male,Graduate,MH,Semi_Urban,Salaried,17,968253,MSME_Loan,Other,2645792,60,16.56,776,2,0.217,,0,7,2,123228,1
LN0014879,2022-06-21,57,Male,Undergraduate,WB,Urban,Business_Owner,2,2554730,Auto_Loan,Other,1547781,24,12.63,740,1,0.117,,0,2,0,219484,0
LN0015682,2023-03-30,49,Female,Diploma,TS,Urban,Salaried,9,955040,Gold_Loan,Debt_Consolidation,1204956,120,15.8,667,3,0.41,,1,1,1,103646,0
LN0001912,2022-08-26,34,Female,Post_Graduate,MH,Rural,Business_Owner,12,1116929,Auto_Loan,Business_Expansion,4282095,84,17.94,787,1,0.164,,0,5,1,428483,1
LN0013514,2022-09-27,26,Male,Graduate,KA,Rural,Salaried,1,793484,Home_Loan,Business_Expansion,4651674,48,13.1,857,2,0.074,0.484,1,0,2,219654,0
LN0016817,2022-04-09,65,Male,No_Formal,TS,Semi_Urban,Self_Employed,1,1060205,Education_Loan,Education,3123746,180,10.95,645,3,0.238,,0,2,0,241507,0
LN0016839,2022-02-13,56,Female,No_Formal,RJ,Rural,Business_Owner,28,2574288,Home_Loan,Education,1263567,84,13.1,638,0,0.143,0.772,0,7,0,191724,0
LN0011605,2023-01-29,23,Male,Graduate,GJ,Semi_Urban,Government,8,1952825,Personal_Loan,Vehicle,2510639,24,13.52,715,0,0.626,,0,0,0,365500,0
LN0005073,2023-08-26,43,Male,Diploma,GJ,Urban,Salaried,3,2401463,Home_Loan,Business_Expansion,1927845,36,16.68,628,0,0.473,0.707,1,2,1,283945,1
LN0006481,2022-02-13,58,Female,No_Formal,WB,Semi_Urban,Salaried,16,2281482,Auto_Loan,Vehicle,4570890,36,12.67,706,4,0.206,,1,0,3,223342,1
LN0007218,2022-06-05,36,Male,Graduate,TS,Urban,Self_Employed,4,438226,Education_Loan,Other,4686695,24,20.39,679,1,0.411,,0,0,0,342179,0
LN0003540,2023-06-05,30,Male,Graduate,TN,Urban,Retired,3,2534127,Personal_Loan,Education,3966138,36,7.86,831,0,0.251,,0,8,0,316999,0
LN0016691,2023-01-04,22,Female,Diploma,RJ,Urban,Self_Employed,24,387420,MSME_Loan,Business_Expansion,4215703,36,12.63,576,4,0.31,,0,5,4,276882,1
LN0004909,2022-09-01,24,Female,Post_Graduate,TN,Rural,Salaried,7,2573270,Education_Loan,Vehicle,4704218,12,11.0,795,3,0.352,,0,5,1,120656,1
LN0002361,2023-01-14,48,Female,No_Formal,UP,Semi_Urban,Self_Employed,2,1891392,Auto_Loan,Medical,1925589,120,9.19,899,3,0.596,,1,7,0,74550,0
LN0012663,2022-12-08,48,Male,Post_Graduate,TN,Urban,Salaried,2,901210,Auto_Loan,Debt_Consolidation,3907160,120,20.86,611,1,0.061,,1,6,1,55897,0
LN0007279,2022-11-15,43,Male,Undergraduate,WB,Rural,Self_Employed,27,1640536,Education_Loan,Other,3573686,240,12.46,840,4,0.615,,0,0,1,32337,1
LN0009978,2023-04-30,63,Male,Graduate,TN,Rural,Salaried,30,2197936,Personal_Loan,Medical,954111,120,18.07,797,1,0.12,,0,4,0,126406,0
LN0002517,2023-08-04,58,Female,Post_Graduate,RJ,Rural,Salaried,20,420320,Auto_Loan,Debt_Consolidation,2969639,180,12.25,561,4,0.548,,0,6,1,150414,1
LN0008882,2023-10-28,42,Female,Post_Graduate,TS,Rural,Business_Owner,1,2528482,Auto_Loan,Education,351353,36,11.43,696,0,0.17,,1,1,0,163000,0
LN0003064,2022-07-27,55,Male,No_Formal,MH,Rural,Salaried,12,2565468,Personal_Loan,Vehicle,2662719,240,20.08,826,3,0.502,,0,5,0,322710,0
LN0001083,2023-07-22,63,Male,No_Formal,TN,Rural,Business_Owner,26,350256,Auto_Loan,Other,1973500,12,14.16,551,0,0.244,,1,5,0,304291,0
LN0002443,2023-09-04,51,Male,Graduate,GJ,Semi_Urban,Self_Employed,26,476891,MSME_Loan,Education,549647,240,10.31,599,0,0.52,,0,0,0,324581,1
LN0016286,2023-05-03,42,Female,No_Formal,UP,Urban,Salaried,30,1966348,Education_Loan,Debt_Consolidation,1779693,48,16.64,580,1,0.453,,0,0,1,459325,0
LN0004047,2023-02-09,34,Female,Undergraduate,TS,Urban,Salaried,14,2773093,Personal_Loan,Debt_Consolidation,3124892,36,21.81,885,3,0.551,,0,6,1,350988,1
LN0004113,2022-06-28,28,Male,No_Formal,WB,Rural,Salaried,24,2031397,Education_Loan,Other,120312,48,12.18,642,2,0.378,,0,1,0,496272,0
LN0012212,2022-03-23,32,Male,Undergraduate,TN,Rural,Self_Employed,4,1093943,Auto_Loan,Home_Purchase,1516037,180,20.76,719,2,0.636,,1,6,0,248859,0
LN0002500,2022-02-05,39,Male,No_Formal,GJ,Rural,Salaried,19,687123,MSME_Loan,Business_Expansion,1149257,240,16.4,834,3,0.324,,0,6,3,181149,0
LN0002969,2022-04-06,38,Female,Post_Graduate,TS,Urban,Self_Employed,17,1298890,Education_Loan,Business_Expansion,354043,48,7.63,581,0,0.55,,0,6,3,91243,1
LN0014494,2022-08-22,33,Male,Undergraduate,UP,Rural,Self_Employed,24,1684931,Education_Loan,Business_Expansion,373539,48,12.67,752,4,0.455,,0,0,1,247787,0
LN0017394,2022-06-30,27,Female,No_Formal,TS,Rural,Salaried,14,2400149,Gold_Loan,Home_Purchase,3438163,48,9.38,620,1,0.352,,1,6,0,58213,0
LN0001196,2022-01-14,62,Male,Undergraduate,GJ,Semi_Urban,Business_Owner,27,2461862,Home_Loan,Home_Purchase,1578928,12,11.88,736,1,0.219,0.497,0,5,1,320097,0
LN0014905,2023-09-11,62,Female,Post_Graduate,KA,Semi_Urban,Business_Owner,22,1440255,Home_Loan,Education,4974034,60,17.91,660,4,0.436,0.685,0,8,0,318198,0
LN0015092,2023-07-26,53,Male,No_Formal,RJ,Rural,Retired,1,2813107,Home_Loan,Home_Purchase,4087253,36,21.98,786,0,0.283,0.852,0,8,4,24585,1
LN0014198,2023-03-16,54,Male,Diploma,WB,Semi_Urban,Self_Employed,5,271773,MSME_Loan,Debt_Consolidation,2070180,60,18.85,891,2,0.341,,0,5,0,295188,0
LN0004632,2023-01-10,25,Female,Undergraduate,GJ,Rural,Self_Employed,19,2252022,MSME_Loan,Business_Expansion,4635376,12,7.87,854,0,0.579,,0,4,0,304049,0
LN0009946,2023-10-03,55,Male,Undergraduate,TS,Urban,Salaried,0,2620147,Personal_Loan,Medical,516238,240,9.76,578,2,0.569,,0,4,0,483552,0
LN0013896,2022-04-11,63,Male,No_Formal,KA,Urban,Salaried,0,2095951,Education_Loan,Vehicle,495223,120,12.65,825,3,0.402,,0,8,1,64370,0
LN0012975,2022-02-25,49,Female,Post_Graduate,TN,Semi_Urban,Self_Employed,11,1469909,Personal_Loan,Other,230771,48,12.8,672,0,0.07,,0,7,3,407221,1
LN0005147,2022-03-07,35,Female,Undergraduate,DL,Urban,Self_Employed,3,2540298,Education_Loan,Business_Expansion,1641549,84,15.09,888,0,0.257,,0,7,0,10357,0
LN0009000,2023-02-08,33,Female,Diploma,TS,Urban,Salaried,6,281668,MSME_Loan,Medical,4587791,12,9.67,828,3,0.072,,0,0,2,296298,0
LN0012533,2022-05-17,21,Male,Undergraduate,UP,Semi_Urban,Self_Employed,10,454839,Personal_Loan,Debt_Consolidation,664209,12,16.43,878,1,0.07,,0,2,1,356384,1
LN0008525,2023-05-02,41,Male,Graduate,GJ,Semi_Urban,Salaried,18,1169019,Gold_Loan,Vehicle,2420980,60,9.87,610,0,0.056,,0,3,1,383015,0
LN0008539,2023-07-17,29,Female,Graduate,DL,Urban,Salaried,26,1271670,MSME_Loan,Education,1812662,60,11.3,592,2,0.533,,0,0,4,209995,1
LN0017683,2023-10-19,47,Male,Diploma,GJ,Urban,Retired,3,1598264,Auto_Loan,Vehicle,2331952,24,19.65,575,3,0.212,,1,7,0,275909,0
LN0009235,2023-07-06,46,Male,No_Formal,DL,Semi_Urban,Business_Owner,18,2583330,Auto_Loan,Other,2989437,180,16.79,693,3,0.295,,0,3,0,229798,0
LN0010292,2022-04-13,44,Male,Undergraduate,DL,Urban,Salaried,19,2639479,Gold_Loan,Education,347725,180,9.53,659,2,0.064,,0,1,0,317541,0
LN0011276,2022-07-09,42,Male,Diploma,UP,Rural,Government,15,722774,MSME_Loan,Debt_Consolidation,3868887,240,15.04,629,2,0.284,,0,0,1,436198,0
LN0017113,2022-03-25,31,Male,Diploma,KA,Semi_Urban,Salaried,1,1119437,Auto_Loan,Education,2194214,24,13.66,776,3,0.24,,1,0,0,200331,0
LN0016499,2023-07-26,58,Male,Post_Graduate,AP,Semi_Urban,Retired,4,2091157,Auto_Loan,Medical,1702794,36,10.93,856,2,0.224,,0,4,1,7628,0
LN0005642,2023-11-29,30,Male,Diploma,UP,Urban,Business_Owner,12,2126967,Gold_Loan,Debt_Consolidation,813660,48,20.47,635,1,0.429,,0,0,0,288733,0
LN0011885,2022-08-29,34,Male,Undergraduate,KA,Semi_Urban,Salaried,14,659125,Home_Loan,Education,1327457,240,12.42,565,3,0.375,0.429,0,1,1,313116,0
LN0000826,2022-03-19,29,Female,Graduate,WB,Rural,Business_Owner,22,2404003,Auto_Loan,Debt_Consolidation,3608269,120,10.17,688,3,0.068,,1,8,0,257260,0
LN0003462,2022-12-31,30,Male,No_Formal,TS,Semi_Urban,Salaried,22,623123,Auto_Loan,Vehicle,1651387,84,10.76,874,1,0.278,,0,7,0,401165,0
LN0006344,2022-08-03,51,Female,Post_Graduate,RJ,Urban,Self_Employed,6,1383913,Personal_Loan,Other,2089579,12,18.9,678,3,0.388,,0,4,0,478562,0
LN0016417,2022-02-25,47,Male,Graduate,DL,Semi_Urban,Business_Owner,4,1339544,Education_Loan,Vehicle,1322008,180,16.52,634,0,0.155,,0,5,4,376423,1
LN0016327,2023-07-20,62,Female,Diploma,GJ,Semi_Urban,Business_Owner,28,1301743,MSME_Loan,Vehicle,1402861,84,16.48,668,2,0.159,,0,0,2,385872,1
LN0012144,2023-02-08,26,Male,Diploma,MH,Urban,Self_Employed,6,1128210,Auto_Loan,Vehicle,2654962,12,16.37,550,2,0.537,,1,2,1,309274,1
LN0013942,2022-07-06,36,Male,Undergraduate,TS,Rural,Salaried,29,678117,Personal_Loan,Debt_Consolidation,1520344,24,19.62,747,2,0.1,,0,3,3,325565,0
LN0006706,2023-10-25,36,Male,Diploma,MH,Semi_Urban,Salaried,27,741800,Gold_Loan,Home_Purchase,1278700,36,16.12,785,3,0.074,,1,8,3,11676,1
LN0005114,2022-10-12,62,Male,Graduate,KA,Urban,Self_Employed,13,985173,Gold_Loan,Business_Expansion,3095440,120,20.36,733,4,0.201,,1,5,0,201427,0
LN0012862,2022-06-26,65,Male,Post_Graduate,AP,Semi_Urban,Self_Employed,2,1663655,MSME_Loan,Other,3213233,24,9.02,571,1,0.259,,0,2,1,431879,0
LN0001997,2023-09-13,44,Male,Undergraduate,TN,Rural,Government,6,1898082,Home_Loan,Debt_Consolidation,1603580,36,20.99,739,4,0.457,0.901,0,7,4,467623,1
LN0011506,2023-07-25,32,Male,No_Formal,TN,Semi_Urban,Business_Owner,15,2414255,Education_Loan,Vehicle,2922616,48,8.66,732,2,0.322,,0,6,0,270323,1
LN0013992,2022-09-16,46,Male,Undergraduate,KA,Urban,Government,15,726890,MSME_Loan,Debt_Consolidation,3279579,180,9.32,811,0,0.331,,0,4,0,273586,0
LN0001599,2023-05-03,27,Male,Graduate,TN,Rural,Business_Owner,26,2135925,Home_Loan,Debt_Consolidation,3561547,24,10.9,737,2,0.124,0.808,0,4,1,480864,0
LN0012065,2022-10-13,38,Male,Undergraduate,GJ,Urban,Self_Employed,17,1786329,Auto_Loan,Home_Purchase,2942601,180,12.13,563,4,0.095,,1,6,0,2508,0
LN0014927,2022-11-12,42,Male,Undergraduate,TN,Rural,Salaried,23,2692324,MSME_Loan,Vehicle,3022411,36,20.35,852,2,0.553,,0,2,0,468479,0
LN0014685,2022-12-03,32,Female,Diploma,TN,Urban,Salaried,22,1999152,Home_Loan,Medical,1699812,24,15.65,805,3,0.073,0.658,1,4,0,161400,0
LN0012153,2022-07-25,56,Male,Undergraduate,GJ,Urban,Salaried,28,513820,Personal_Loan,Other,1654052,180,18.03,832,3,0.571,,0,6,0,300970,0
LN0008217,2022-10-15,36,Male,Diploma,GJ,Rural,Salaried,21,2930581,Personal_Loan,Medical,3458138,24,13.29,704,1,0.061,,0,7,0,137643,0
LN0017136,2023-05-18,55,Male,No_Formal,AP,Rural,Business_Owner,9,1636247,Home_Loan,Home_Purchase,1493586,60,7.85,771,4,0.486,0.805,1,3,2,235657,0
LN0013757,2022-04-05,34,Male,No_Formal,KA,Urban,Business_Owner,3,2663201,Education_Loan,Other,1110073,180,10.65,592,2,0.529,,0,8,0,101495,0
LN0016841,2022-08-07,47,Male,Post_Graduate,WB,Semi_Urban,Self_Employed,0,1376993,Personal_Loan,Other,3297385,120,15.98,557,2,0.606,,0,7,1,452374,0
LN0010565,2023-09-13,37,Male,Post_Graduate,WB,Rural,Self_Employed,2,1892859,Home_Loan,Debt_Consolidation,893447,12,14.57,692,3,0.297,0.777,0,5,3,39024,1
LN0010012,2022-07-23,55,Male,Graduate,TN,Urban,Salaried,1,2969466,MSME_Loan,Education,3941378,180,16.82,842,2,0.594,,0,8,1,242484,0
LN0005386,2023-04-06,61,Male,Undergraduate,KA,Urban,Salaried,8,2574492,Auto_Loan,Education,2474806,24,11.87,572,4,0.508,,1,8,0,318470,0
LN0008295,2022-05-29,33,Male,Post_Graduate,RJ,Urban,Retired,5,2483786,Personal_Loan,Vehicle,3657111,24,18.77,659,3,0.608,,0,5,0,218109,0
LN0016368,2022-01-18,21,Male,Post_Graduate,AP,Rural,Salaried,18,655466,Gold_Loan,Education,408638,240,14.99,892,1,0.181,,0,8,2,218774,0
LN0013177,2023-02-18,54,Male,Undergraduate,DL,Semi_Urban,Salaried,8,367202,MSME_Loan,Education,1995083,240,8.61,774,4,0.226,,0,6,1,130726,0
LN0017463,2022-04-05,59,Male,Post_Graduate,MH,Rural,Salaried,1,1062625,Education_Loan,Business_Expansion,2348511,48,11.88,781,3,0.288,,0,6,4,441519,1
LN0009272,2023-11-16,54,Male,Undergraduate,TN,Rural,Self_Employed,21,1648911,Gold_Loan,Vehicle,2605818,48,21.63,899,2,0.093,,1,1,2,325155,0
LN0008112,2022-03-21,44,Female,Undergraduate,KA,Urban,Self_Employed,6,508938,Gold_Loan,Home_Purchase,3583087,60,16.33,632,2,0.453,,1,3,0,13263,0
LN0006965,2023-07-18,61,Male,Diploma,TS,Semi_Urban,Salaried,8,2692156,Auto_Loan,Education,3665297,180,17.74,569,4,0.614,,0,8,6,240602,1
LN0002698,2022-12-10,60,Male,Post_Graduate,GJ,Urban,Government,15,860735,MSME_Loan,Other,2631219,84,18.54,782,0,0.416,,0,3,1,289550,0
LN0011807,2022-01-17,24,Male,No_Formal,GJ,Rural,Self_Employed,15,734834,Auto_Loan,Home_Purchase,876760,36,16.08,883,2,0.365,,0,5,3,407444,1
LN0015370,2022-01-19,53,Male,No_Formal,WB,Urban,Salaried,24,2391813,Auto_Loan,Education,641749,12,18.66,581,2,0.268,,1,1,0,386822,0
LN0007661,2023-11-11,60,Male,Undergraduate,UP,Semi_Urban,Government,12,2650832,Auto_Loan,Medical,1754320,48,16.31,882,4,0.291,,0,6,0,246961,0
LN0003648,2022-05-13,38,Male,Graduate,RJ,Rural,Salaried,11,677662,Education_Loan,Medical,787635,84,13.11,821,3,0.644,,0,7,3,320,1
LN0000717,2022-04-12,46,Male,Diploma,KA,Semi_Urban,Self_Employed,1,2851709,Education_Loan,Other,4470783,36,18.49,762,1,0.469,,0,3,1,456085,0
LN0002026,2023-10-30,21,Female,Post_Graduate,TS,Urban,Business_Owner,24,2682734,Home_Loan,Business_Expansion,2987544,240,8.64,575,0,0.514,0.835,1,7,2,256732,1
LN0013485,2023-09-12,36,Male,Graduate,RJ,Rural,Government,16,773560,Gold_Loan,Medical,303605,24,18.23,769,3,0.279,,1,7,0,42048,0
LN0007282,2022-12-25,42,Male,No_Formal,UP,Urban,Self_Employed,4,2777880,Gold_Loan,Education,3936433,84,21.05,584,4,0.375,,1,1,1,416441,0
LN0006004,2022-10-17,41,Male,No_Formal,RJ,Semi_Urban,Salaried,14,743543,Gold_Loan,Business_Expansion,3833983,180,11.83,794,1,0.263,,0,1,3,218163,1
LN0001129,2023-07-17,32,Male,Post_Graduate,AP,Urban,Government,13,1547332,Education_Loan,Medical,131003,180,18.58,819,1,0.185,,0,1,2,249190,0
LN0005146,2023-07-05,27,Male,Undergraduate,AP,Semi_Urban,Salaried,15,2676480,Auto_Loan,Other,3551467,12,15.9,617,3,0.271,,1,4,3,40926,1
LN0015697,2022-01-31,40,Male,No_Formal,KA,Urban,Salaried,22,811381,MSME_Loan,Medical,4077002,48,12.56,739,0,0.628,,0,1,0,427826,0
LN0009350,2022-07-08,35,Male,Graduate,RJ,Semi_Urban,Salaried,7,1929629,MSME_Loan,Other,1734840,240,17.25,783,0,0.392,,0,8,0,15371,0
LN0014916,2023-08-16,29,Male,No_Formal,RJ,Rural,Business_Owner,6,2749444,Gold_Loan,Debt_Consolidation,3465252,120,14.42,855,1,0.447,,0,7,1,261005,0
LN0011631,2022-09-26,57,Female,Graduate,TN,Rural,Retired,0,848375,MSME_Loan,Other,3573349,240,18.06,814,0,0.45,,0,0,1,424098,0
LN0015650,2023-06-03,57,Female,Undergraduate,MH,Rural,Self_Employed,7,957834,MSME_Loan,Education,3895559,120,17.22,803,0,0.382,,0,1,0,304635,0
LN0012023,2023-01-28,49,Male,Graduate,TN,Rural,Business_Owner,6,1782251,Auto_Loan,Other,605539,84,18.19,776,0,0.649,,0,6,0,333915,0
LN0015183,2023-04-01,42,Male,Diploma,GJ,Rural,Salaried,20,2785092,Auto_Loan,Debt_Consolidation,1121768,120,10.57,738,3,0.474,,0,6,0,409899,0
LN0006007,2023-01-27,58,Female,Diploma,UP,Semi_Urban,Business_Owner,14,2296206,Gold_Loan,Home_Purchase,3813442,180,16.95,697,2,0.19,,1,7,0,5699,0
LN0002898,2022-02-26,45,Male,Post_Graduate,DL,Semi_Urban,Self_Employed,2,1507907,Auto_Loan,Education,307583,120,14.5,642,2,0.144,,0,8,0,423527,0
LN0012401,2022-04-18,62,Female,No_Formal,WB,Urban,Business_Owner,14,1397300,Education_Loan,Home_Purchase,2156091,120,21.57,803,1,0.562,,0,8,1,326616,0
LN0002836,2022-11-19,65,Female,No_Formal,TN,Semi_Urban,Self_Employed,22,465944,Personal_Loan,Education,3666706,24,11.58,746,4,0.567,,0,1,2,175480,1
LN0003396,2023-11-02,35,Male,No_Formal,AP,Rural,Self_Employed,25,1075740,Home_Loan,Other,414868,84,13.85,829,2,0.22,0.737,0,3,0,165388,0
LN0004348,2023-06-14,46,Female,Graduate,WB,Semi_Urban,Retired,5,2595746,Home_Loan,Medical,2105667,24,19.15,607,1,0.392,0.631,1,1,1,413525,0
LN0007365,2023-02-10,62,Female,No_Formal,WB,Rural,Salaried,27,1271469,Personal_Loan,Vehicle,2702259,180,16.14,687,0,0.571,,0,2,1,402874,1
LN0007592,2023-11-02,58,Male,Undergraduate,MH,Urban,Salaried,12,2358244,Home_Loan,Business_Expansion,4955059,120,18.72,792,3,0.594,0.453,1,6,4,47155,1
LN0000446,2022-08-08,55,Male,Graduate,UP,Semi_Urban,Business_Owner,30,2407978,Personal_Loan,Vehicle,2195725,36,20.54,678,2,0.301,,0,4,0,210065,0
LN0000034,2022-09-15,30,Male,No_Formal,GJ,Semi_Urban,Salaried,1,668581,Home_Loan,Debt_Consolidation,1457045,24,9.34,694,2,0.464,0.553,1,5,0,384321,0
LN0007169,2022-05-03,34,Male,Post_Graduate,GJ,Semi_Urban,Salaried,30,1081022,MSME_Loan,Debt_Consolidation,998982,48,10.22,611,2,0.44,,0,6,1,44168,1
LN0005997,2023-04-07,54,Male,Post_Graduate,UP,Urban,Business_Owner,22,2373120,Home_Loan,Business_Expansion,1432441,60,15.45,777,1,0.296,0.587,0,4,0,475210,0
LN0007777,2023-01-13,41,Male,No_Formal,TN,Semi_Urban,Business_Owner,15,1907856,Gold_Loan,Vehicle,2056415,24,8.95,731,4,0.495,,0,5,0,130804,0
LN0001104,2023-04-20,43,Male,No_Formal,TN,Semi_Urban,Self_Employed,24,2689574,Personal_Loan,Medical,3974371,24,15.66,893,2,0.254,,0,1,1,360369,0
LN0008945,2022-11-03,59,Male,Diploma,KA,Semi_Urban,Salaried,28,1618770,Gold_Loan,Vehicle,1993842,120,10.94,703,1,0.569,,1,7,2,399615,1
LN0014221,2023-02-03,48,Male,Undergraduate,RJ,Rural,Salaried,20,2862007,Education_Loan,Vehicle,3081155,48,8.91,768,1,0.261,,0,8,1,422048,0
LN0000627,2023-03-28,44,Female,No_Formal,KA,Urban,Retired,2,1113102,MSME_Loan,Vehicle,1006216,240,13.17,631,1,0.279,,0,5,0,51421,0
LN0004582,2022-08-22,57,Male,Post_Graduate,MH,Urban,Self_Employed,24,2790835,Personal_Loan,Business_Expansion,2580730,36,9.61,765,2,0.588,,0,4,0,154558,0
LN0011582,2022-11-16,60,Male,Diploma,TN,Urban,Salaried,1,874190,Home_Loan,Vehicle,4837112,12,11.9,583,3,0.051,0.839,1,0,1,255868,0
LN0006115,2023-07-10,61,Male,Graduate,UP,Semi_Urban,Salaried,22,1602512,Auto_Loan,Home_Purchase,2131459,120,14.95,885,3,0.066,,0,1,0,416249,0
LN0011059,2023-08-20,43,Male,Graduate,TS,Rural,Self_Employed,28,2162897,Personal_Loan,Education,896863,36,19.5,752,2,0.447,,0,2,0,266414,0
LN0000276,2022-05-07,36,Female,Graduate,RJ,Semi_Urban,Government,11,2495856,Education_Loan,Vehicle,3341410,180,16.46,631,2,0.361,,0,0,0,288238,0
LN0014778,2023-05-04,46,Male,Graduate,TS,Semi_Urban,Government,17,2121290,Gold_Loan,Debt_Consolidation,4544786,240,8.46,729,2,0.573,,1,7,2,463670,1
LN0016401,2023-11-15,21,Male,No_Formal,TS,Rural,Salaried,18,1425245,Personal_Loan,Medical,4871214,48,20.17,866,1,0.588,,0,6,0,396459,0
LN0007318,2022-05-18,65,Male,Diploma,WB,Urban,Business_Owner,3,2445054,Gold_Loan,Home_Purchase,3841666,180,17.44,680,0,0.181,,0,2,0,270668,0
LN0013977,2023-06-09,31,Male,No_Formal,AP,Urban,Salaried,3,2331372,Personal_Loan,Home_Purchase,935941,48,16.83,775,4,0.292,,0,2,1,339510,0
LN0006877,2023-10-14,59,Male,Post_Graduate,TS,Semi_Urban,Self_Employed,15,2184633,Home_Loan,Education,3906162,180,18.99,840,4,0.088,0.802,1,0,2,452345,0
LN0017447,2022-02-01,28,Male,No_Formal,RJ,Rural,Salaried,0,1800920,MSME_Loan,Education,2382907,60,18.91,859,2,0.443,,0,5,0,474508,0
LN0013336,2023-07-06,59,Male,No_Formal,RJ,Semi_Urban,Self_Employed,9,2956095,Education_Loan,Medical,2519008,36,16.41,674,0,0.23,,0,3,0,258956,0
LN0006441,2022-07-30,40,Male,Undergraduate,DL,Urban,Salaried,4,2776344,Education_Loan,Education,4368251,120,12.75,842,0,0.648,,0,6,1,35050,0
LN0017642,2022-03-09,62,Female,Post_Graduate,GJ,Urban,Salaried,9,1393023,Gold_Loan,Business_Expansion,3332076,180,11.6,830,1,0.167,,1,8,0,191076,0
LN0006135,2022-05-18,57,Male,Undergraduate,DL,Rural,Self_Employed,20,2803788,MSME_Loan,Other,204389,180,18.68,772,1,0.47,,0,6,1,310781,0
